Date,Investment_AAPL,Investment_GOOGL,Investment_MSFT,Investment_META,Investment_AMZN,CASH
2025-02-11,232.62,185.32,411.44,719.8,232.76,1.0
2025-02-12,236.87,183.61,409.04,725.38,228.93,1.0
2025-02-13,241.53,186.14,410.54,728.56,230.37,1.0
2025-02-14,244.6,185.23,408.43,736.67,228.68,1.0
2025-02-18,244.47,183.77,409.64,716.37,226.65,1.0
2025-02-19,244.87,185.27,414.77,703.77,226.63,1.0
2025-02-20,245.83,184.56,416.13,694.84,222.88,1.0
2025-02-21,245.55,179.66,408.21,683.55,216.58,1.0
2025-02-24,247.1,179.25,404.0,668.13,212.71,1.0
2025-02-25,247.04,175.42,397.9,657.5,212.8,1.0
2025-02-26,240.36,172.73,399.73,673.7,214.35,1.0
2025-02-27,237.3,168.5,392.53,658.24,208.74,1.0
2025-02-28,241.84,170.28,396.99,668.2,212.28,1.0
2025-03-03,238.03,167.01,388.49,655.05,205.02,1.0
2025-03-04,235.93,170.92,388.61,640.0,203.8,1.0
2025-03-05,235.74,173.02,401.02,656.47,208.36,1.0
2025-03-06,235.33,172.35,396.89,627.93,200.7,1.0
2025-03-07,239.07,173.86,393.31,625.66,199.25,1.0
2025-03-10,227.48,165.87,380.16,597.99,194.54,1.0
2025-03-11,220.84,164.04,380.45,605.71,196.59,1.0
2025-03-12,216.98,167.11,383.27,619.56,198.89,1.0
2025-03-13,209.68,162.76,378.77,590.64,193.89,1.0
2025-03-14,213.49,165.49,388.56,607.6,197.95,1.0
2025-03-17,214.0,164.29,388.7,604.9,195.74,1.0
2025-03-18,212.69,160.67,383.52,582.36,192.82,1.0
2025-03-19,215.24,163.89,387.82,584.06,195.54,1.0
2025-03-20,214.1,162.8,386.84,586.0,194.95,1.0
2025-03-21,218.27,163.99,391.26,596.25,196.21,1.0
2025-03-24,220.73,167.68,393.08,618.85,203.26,1.0
2025-03-25,223.75,170.56,395.16,626.31,205.71,1.0
2025-03-26,221.53,165.06,389.97,610.98,201.13,1.0
2025-03-27,223.85,162.24,390.58,602.58,201.36,1.0
2025-03-28,217.9,154.33,378.8,576.74,192.72,1.0
2025-03-31,222.13,154.64,375.39,576.36,190.26,1.0
2025-04-01,223.19,157.07,382.19,586.0,192.17,1.0
2025-04-02,223.89,157.04,382.14,583.93,196.01,1.0
2025-04-03,203.19,150.72,373.11,531.62,178.41,1.0
2025-04-04,188.38,145.6,359.84,504.73,171.0,1.0
2025-04-07,181.46,146.75,357.86,516.25,175.26,1.0
2025-04-08,172.42,144.7,354.56,510.45,170.66,1.0
2025-04-09,198.85,158.71,390.49,585.77,191.1,1.0
2025-04-10,190.42,152.82,381.35,546.29,181.22,1.0
2025-04-11,198.15,157.14,388.45,543.57,184.87,1.0
2025-04-14,202.52,159.07,387.81,531.48,182.12,1.0
2025-04-15,202.14,156.31,385.73,521.52,179.59,1.0
2025-04-16,194.27,153.33,371.61,502.31,174.33,1.0
2025-04-17,196.98,151.16,367.78,501.48,172.61,1.0
2025-04-21,193.16,147.67,359.12,484.66,167.32,1.0
2025-04-22,199.74,151.47,366.82,500.28,173.18,1.0
2025-04-23,204.6,155.35,374.39,520.27,180.6,1.0
2025-04-24,208.37,159.28,387.3,533.15,186.54,1.0
2025-04-25,209.28,161.96,391.85,547.27,188.99,1.0
2025-04-28,210.14,160.61,391.16,549.74,187.7,1.0
2025-04-29,211.21,160.16,394.04,554.44,187.39,1.0
2025-04-30,212.5,158.8,395.26,549.0,184.42,1.0
2025-05-01,213.32,161.3,425.4,572.21,190.2,1.0
2025-05-02,205.35,164.03,435.28,597.02,189.98,1.0
2025-05-05,198.89,164.21,436.17,599.27,186.35,1.0
2025-05-06,198.51,163.23,433.31,587.31,185.01,1.0
2025-05-07,196.25,151.38,433.35,596.81,188.71,1.0
2025-05-08,197.49,154.28,438.17,598.01,192.08,1.0
2025-05-09,198.53,152.75,438.73,592.49,193.06,1.0
2025-05-12,210.79,158.46,449.26,639.43,208.64,1.0
2025-05-13,212.93,159.53,449.14,656.03,211.37,1.0
2025-05-14,212.33,165.37,452.94,659.36,210.25,1.0
2025-05-15,211.45,163.96,453.13,643.88,205.17,1.0
2025-05-16,211.26,166.19,454.27,640.34,205.59,1.0
2025-05-19,208.78,166.54,458.87,640.43,206.16,1.0
2025-05-20,206.86,163.98,458.17,637.1,204.07,1.0
2025-05-21,202.09,168.56,452.57,635.5,201.12,1.0
2025-05-22,201.36,170.87,454.86,636.57,203.1,1.0
2025-05-23,195.27,168.47,450.18,627.06,200.99,1.0
2025-05-27,200.21,172.9,460.69,642.32,206.02,1.0
2025-05-28,200.42,172.36,457.36,643.58,204.72,1.0
2025-05-29,199.95,171.86,458.68,645.05,205.7,1.0
2025-05-30,200.85,171.74,460.36,647.49,205.01,1.0
2025-06-02,201.7,169.03,461.97,670.9,206.65,1.0
2025-06-03,203.27,166.18,462.97,666.85,205.71,1.0
2025-06-04,202.82,168.05,463.87,687.95,207.23,1.0
2025-06-05,200.63,168.21,467.68,684.62,207.91,1.0
2025-06-06,203.92,173.68,470.38,697.71,213.57,1.0
2025-06-09,201.45,176.09,472.75,694.06,216.98,1.0
2025-06-10,202.67,178.6,470.92,702.4,217.61,1.0
2025-06-11,198.78,177.35,472.62,694.14,213.2,1.0
2025-06-12,199.2,175.7,478.87,693.36,213.24,1.0
2025-06-13,196.45,174.67,474.96,682.87,212.1,1.0
2025-06-16,198.42,176.77,479.14,702.12,216.1,1.0
2025-06-17,195.64,175.95,478.04,697.23,214.82,1.0
2025-06-18,196.58,173.32,480.24,695.77,212.52,1.0
2025-06-20,201.0,166.64,477.4,682.35,209.69,1.0
2025-06-23,201.5,165.19,486.0,698.53,208.47,1.0
2025-06-24,200.3,166.77,490.11,712.2,212.77,1.0
2025-06-25,201.56,170.68,492.27,708.68,211.99,1.0
2025-06-26,201.0,173.54,497.45,726.09,217.12,1.0
2025-06-27,201.08,178.53,495.94,733.63,223.3,1.0
2025-06-30,205.17,176.23,497.41,738.09,219.39,1.0
2025-07-01,207.82,175.84,492.05,719.22,220.46,1.0
2025-07-02,212.44,178.64,491.09,713.57,219.92,1.0
2025-07-03,213.55,179.53,498.84,719.01,223.41,1.0
2025-07-07,209.95,176.79,497.72,718.35,223.47,1.0
2025-07-08,210.01,174.36,496.62,720.67,219.36,1.0
2025-07-09,211.14,176.62,503.51,732.78,222.54,1.0
2025-07-10,212.41,177.62,501.48,727.24,222.26,1.0
2025-07-11,211.16,180.19,503.32,717.51,225.02,1.0
2025-07-14,208.62,181.56,503.02,720.92,225.69,1.0
2025-07-15,209.11,182.0,505.82,710.39,226.35,1.0
2025-07-16,210.16,182.97,505.62,702.91,223.19,1.0
2025-07-17,210.02,183.58,511.7,701.41,223.88,1.0
2025-07-18,211.18,185.06,510.05,704.28,226.13,1.0
2025-07-21,212.48,190.1,510.06,712.965,229.3,1.0
2025-07-22,214.4,191.34,505.27,704.81,227.47,1.0
2025-07-23,214.15,190.23,505.87,713.58,228.29,1.0
2025-07-24,213.76,192.17,510.88,714.8,232.23,1.0
2025-07-25,213.88,193.18,513.71,712.68,231.44,1.0
2025-07-28,214.05,192.58,512.5,717.63,232.79,1.0
2025-07-29,211.27,195.75,512.57,700.0,231.01,1.0
2025-07-30,209.05,196.53,513.24,695.21,230.19,1.0
2025-07-31,207.57,191.9,533.5,773.44,234.11,1.0
2025-08-01,202.38,189.13,524.11,750.01,214.75,1.0
2025-08-04,203.35,195.04,535.64,776.37,211.65,1.0
2025-08-05,202.92,194.67,527.75,763.46,213.75,1.0
2025-08-06,213.25,196.09,524.94,771.99,222.31,1.0
2025-08-07,220.03,196.52,520.84,761.83,223.13,1.0
